ticker,quarter,earnings_date,transcript_path
MU,Q3 2017,2017-Jun-29,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MU/2017-Jun-29-MU.txt
MU,Q2 2016,2016-Mar-30,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MU/2016-Mar-30-MU.txt
GOOGL,Q2 2018,2018-Jul-23,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/GOOGL/2018-Jul-23-GOOGL.txt
GOOGL,Q1 2020,2020-Apr-28,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/GOOGL/2020-Apr-28-GOOGL.txt
GOOGL,Q1 2017,2017-Apr-27,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/GOOGL/2017-Apr-27-GOOGL.txt
GOOGL,Q3 2019,2019-Oct-28,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/GOOGL/2019-Oct-28-GOOGL.txt
GOOGL,Q2 2017,2017-Jul-24,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/GOOGL/2017-Jul-24-GOOGL.txt
GOOGL,Q2 2016,2016-Jul-28,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/GOOGL/2016-Jul-28-GOOGL.txt
GOOGL,Q2 2019,2019-Jul-25,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/GOOGL/2019-Jul-25-GOOGL.txt
GOOGL,Q4 2018,2019-Feb-04,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/GOOGL/2019-Feb-04-GOOGL.txt
GOOGL,Q3 2018,2018-Oct-25,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/GOOGL/2018-Oct-25-GOOGL.txt
GOOGL,Q1 2016,2016-Apr-21,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/GOOGL/2016-Apr-21-GOOGL.txt
GOOGL,Q3 2016,2016-Oct-27,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/GOOGL/2016-Oct-27-GOOGL.txt
GOOGL,Q1 2018,2018-Apr-23,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/GOOGL/2018-Apr-23-GOOGL.txt
GOOGL,Q3 2017,2017-Oct-26,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/GOOGL/2017-Oct-26-GOOGL.txt
GOOGL,Q1 2019,2019-Apr-29,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/GOOGL/2019-Apr-29-GOOGL.txt
GOOGL,Q4 2015,2016-Feb-01,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/GOOGL/2016-Feb-01-GOOGL.txt
GOOGL,Q2 2020,2020-Jul-30,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/GOOGL/2020-Jul-30-GOOGL.txt
GOOGL,Q4 2016,2017-Jan-26,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/GOOGL/2017-Jan-26-GOOGL.txt
GOOGL,Q4 2017,2018-Feb-01,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/GOOGL/2018-Feb-01-GOOGL.txt
GOOGL,Q4 2019,2020-Feb-03,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/GOOGL/2020-Feb-03-GOOGL.txt
MSFT,Q4 2017,2017-Jul-20,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MSFT/2017-Jul-20-MSFT.txt
MSFT,Q4 2016,2016-Jul-19,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MSFT/2016-Jul-19-MSFT.txt
MSFT,Q4 2019,2019-Jul-18,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MSFT/2019-Jul-18-MSFT.txt
